"Story","Title","Result","Date","Stability","Duration (s)"
"Get Product's Comments","Get Wrong Product's Comment In AltaShop","SUCCESS","2022-05-14T10:56:25.2+07:00[Asia/Bangkok]","0.0","0.35"
"Post","Successful Create Category","SUCCESS","2022-05-14T10:56:25.577+07:00[Asia/Bangkok]","0.0","0.92"
"Post","Failed Create Category With Combine String and character","SUCCESS","2022-05-14T10:56:26.51+07:00[Asia/Bangkok]","0.0","0.39"
"Post","Failed Create Category With Combine Int","SUCCESS","2022-05-14T10:56:26.913+07:00[Asia/Bangkok]","0.0","0.28"
"Post","Failed Create Category With Combine int and character","SUCCESS","2022-05-14T10:56:27.215+07:00[Asia/Bangkok]","0.0","0.62"
"Post","Failed Create Category With Combine Character and Int","SUCCESS","2022-05-14T10:56:27.856+07:00[Asia/Bangkok]","0.0","0.4"
"Post","Failed Create Category Without Body","SUCCESS","2022-05-14T10:56:28.265+07:00[Asia/Bangkok]","0.0","0.27"
"Create Product's Comments","Create Product's Comment In AltaShop","SUCCESS","2022-05-14T10:56:28.545+07:00[Asia/Bangkok]","0.0","0.33"
"Create Product's Comments","Failed to createProduct's Comment In AltaShop","SUCCESS","2022-05-14T10:56:28.878+07:00[Asia/Bangkok]","0.0","0.53"
"Post Product","Successful Create Product","SUCCESS","2022-05-14T10:56:29.418+07:00[Asia/Bangkok]","0.0","0.34"
"Post Product","Failed to Create Product","SUCCESS","2022-05-14T10:56:29.769+07:00[Asia/Bangkok]","0.0","0.25"
"Post Ratings","Successful Create Rating for Product","SUCCESS","2022-05-14T10:56:30.037+07:00[Asia/Bangkok]","0.0","0.8"
"Post Ratings","Failed to Create Rating for Product","SUCCESS","2022-05-14T10:56:30.849+07:00[Asia/Bangkok]","0.0","0.6"
"Create Transaction","Create Wrong Transaction In AltaShop","SUCCESS","2022-05-14T10:56:32.577+07:00[Asia/Bangkok]","0.0","0.34"
"Get Categories","Get All Categories","SUCCESS","2022-05-14T10:56:32.94+07:00[Asia/Bangkok]","0.0","0.44"
"Get Categories","Get Category by ID","SUCCESS","2022-05-14T10:56:33.385+07:00[Asia/Bangkok]","0.0","0.42"
"Get Categories","Get Invalid Categories with Wrong URL1","SUCCESS","2022-05-14T10:56:33.816+07:00[Asia/Bangkok]","0.0","0.11"
"Get Categories","Get Invalid Categories with Wrong URL2","SUCCESS","2022-05-14T10:56:33.928+07:00[Asia/Bangkok]","0.0","0.3"
"Get Categories","Get Invalid Categories with Wrong URL3","SUCCESS","2022-05-14T10:56:34.236+07:00[Asia/Bangkok]","0.0","0.5"
"Get Categories","Get Invalid Categories with Wrong URL4","SUCCESS","2022-05-14T10:56:34.752+07:00[Asia/Bangkok]","0.0","0.08"
"Get Categories","Get Invalid Categories with Wrong URL5","SUCCESS","2022-05-14T10:56:34.842+07:00[Asia/Bangkok]","0.0","0.29"
"Get Categories","Get Invalid Categories With Wrong Target Request1","SUCCESS","2022-05-14T10:56:35.134+07:00[Asia/Bangkok]","0.0","0.31"
"Get Categories","Get Invalid Categories With Wrong Target Request2","SUCCESS","2022-05-14T10:56:35.463+07:00[Asia/Bangkok]","0.0","0.29"
"Get Categories","Get Invalid Categories With Wrong Target Request3","SUCCESS","2022-05-14T10:56:35.768+07:00[Asia/Bangkok]","0.0","0.61"
"Get Categories","Get Invalid Categories With Wrong Target Request4","SUCCESS","2022-05-14T10:56:36.384+07:00[Asia/Bangkok]","0.0","0.46"
"Get Categories","Get Invalid Categories With Wrong Target Request6","SUCCESS","2022-05-14T10:56:37.905+07:00[Asia/Bangkok]","0.0","0.31"
"Get Products","Get All Products","SUCCESS","2022-05-14T10:56:38.228+07:00[Asia/Bangkok]","0.0","0.99"
"Get Products","Get All Products By Id","SUCCESS","2022-05-14T10:56:39.225+07:00[Asia/Bangkok]","0.0","1.0"
"Get Products","Get Invalid All Products 1","SUCCESS","2022-05-14T10:56:40.231+07:00[Asia/Bangkok]","0.0","0.28"
"Get All Transaction","Get All Transaction","SUCCESS","2022-05-14T10:56:40.519+07:00[Asia/Bangkok]","0.0","0.29"
"Get All Transaction","Get All Transaction With Invalid Transaction","SUCCESS","2022-05-14T10:56:40.815+07:00[Asia/Bangkok]","0.0","0.49"
"Login","Successfully Login","SUCCESS","2022-05-14T10:56:41.316+07:00[Asia/Bangkok]","0.0","0.48"
"Get Ratings","Get Product's Rating In AltaShop","SUCCESS","2022-05-14T10:56:41.807+07:00[Asia/Bangkok]","0.0","0.26"
"Get Ratings","Get Wrong Product's Rating In AltaShop","SUCCESS","2022-05-14T10:56:42.066+07:00[Asia/Bangkok]","0.0","0.25"
"Register","Successful Create Account","SUCCESS","2022-05-14T10:56:42.322+07:00[Asia/Bangkok]","0.0","0.26"
"Register","Failed to Create Account","SUCCESS","2022-05-14T10:56:42.586+07:00[Asia/Bangkok]","0.0","0.27"
