"Story","Title","Result","Date","Stability","Duration (s)"
"Get Categories","Get All Categories","SUCCESS","2022-05-14T10:56:32.94+07:00[Asia/Bangkok]","0.0","0.44"
"Get Categories","Get Category by ID","SUCCESS","2022-05-14T10:56:33.385+07:00[Asia/Bangkok]","0.0","0.42"
"Get Categories","Get Invalid Categories with Wrong URL1","SUCCESS","2022-05-14T10:56:33.816+07:00[Asia/Bangkok]","0.0","0.11"
"Get Categories","Get Invalid Categories with Wrong URL2","SUCCESS","2022-05-14T10:56:33.928+07:00[Asia/Bangkok]","0.0","0.3"
"Get Categories","Get Invalid Categories with Wrong URL3","SUCCESS","2022-05-14T10:56:34.236+07:00[Asia/Bangkok]","0.0","0.5"
"Get Categories","Get Invalid Categories with Wrong URL4","SUCCESS","2022-05-14T10:56:34.752+07:00[Asia/Bangkok]","0.0","0.08"
"Get Categories","Get Invalid Categories with Wrong URL5","SUCCESS","2022-05-14T10:56:34.842+07:00[Asia/Bangkok]","0.0","0.29"
"Get Categories","Get Invalid Categories With Wrong Target Request1","SUCCESS","2022-05-14T10:56:35.134+07:00[Asia/Bangkok]","0.0","0.31"
"Get Categories","Get Invalid Categories With Wrong Target Request2","SUCCESS","2022-05-14T10:56:35.463+07:00[Asia/Bangkok]","0.0","0.29"
"Get Categories","Get Invalid Categories With Wrong Target Request3","SUCCESS","2022-05-14T10:56:35.768+07:00[Asia/Bangkok]","0.0","0.61"
"Get Categories","Get Invalid Categories With Wrong Target Request4","SUCCESS","2022-05-14T10:56:36.384+07:00[Asia/Bangkok]","0.0","0.46"
"Get Categories","Get Invalid Categories With Wrong Target Request6","SUCCESS","2022-05-14T10:56:37.905+07:00[Asia/Bangkok]","0.0","0.31"
